smiles,fitness
COc1ccc(OC)c([C@H](C)NC(=O)c2ccc(Cl)s2)c1,8.4
CC/[NH+]=C(\NCc1c(O)ccc2c1CCCC2)NCC1CC1,9.0
CC[C@H]1C(=O)NCC[N@@H+]1CC(=O)Nc1cc(Cl)ccc1F,8.7
COc1ccc(CN/C=C2\SC(=S)N=C2[O-])cc1,7.6
O=C(COc1ccccc1F)N1CC(C(=O)N2CCC3(CC2)OCCO3)C1,10.0
COc1c(C[NH2+]Cc2ccc3c(c2)OCO3)c(C)nn1C,8.4
CCc1ccccc1NC(=O)C(=O)NCCCN1CCOCC1,8.8
COCC(=O)Nc1cccc(CNC(=O)N[C@H](C)c2ccccc2)c1,9.7
O=C(Nc1cccc2ncccc12)c1cc(Br)ccc1-n1cnnn1,9.0
CN1Cc2c(O)c(-c3cccnc3)cc3c2c(c(CN2CCOCC2)n3C)C1=O,8.7
C[C@H]1CN(CC(=O)Nc2cc(-n3cnnn3)ccc2Cl)C(C)(C)CO1,9.6
CC(=O)c1ccc(NC(=O)c2cn(C)nc2-c2ccccc2)cc1,9.2
O=C(Cc1ccccc1)NCc1cc(=O)n2nc(-c3ccccc3)sc2n1,10.7
O=C(c1ccon1)N1CCC(c2ccc(F)cc2)CC1,9.4
O=C(Nc1cccc(Cl)c1)c1cc(-c2cccc(Cl)c2)no1,10.3
CCn1c(S[C@H](C)C(=O)NCc2cccs2)nc2ccsc2c1=O,8.5
COC(C)(C)CCC[C@H](C)[C@@H](O)CO,6.6
CCc1nn(C)c(OC)c1CNC(=O)c1ccc2nncn2c1,8.9
CCCn1/c(=N/C(=O)[C@@H]2COc3ccccc3O2)sc2cc(OC)ccc21,8.6
C[C@@H]1CC[C@@H](C)[N@H+]([C@@H]2CCCC(C)(C)[C@@H]2[NH3+])C1,7.5
COC(=O)Cc1ccc(-c2csc(N)n2)n1C,6.9
CC(C)CC(=O)N(C)[C@@H]1CCS(=O)(=O)C1,6.9
C/C(=C/C(=O)OCc1nnc(-c2cccc(C)c2)o1)c1ccc(F)cc1,10.9
C[C@H]1C[C@@H]2CCCC[C@@H]2[N@@H+]1CCCCC#N,7.2
Cn1c(=O)n(C)c2cc(C(=O)N3CCC[C@@H](n4nc(-c5ccco5)ccc4=O)C3)ccc21,9.5
O=C(COc1ccc(F)cc1)N1CCN(c2nc3ccccc3nc2C(F)(F)F)CC1,10.1
Cc1cccc(C2(C(=O)N(C)C)CCC2)c1,8.1
CCN(Cc1ccccc1)S(=O)(=O)c1cc(C(=O)Nc2cccc(C)c2)ccc1F,10.7
Cc1ccc(/C=C2\SC(N3CCC(C)CC3)=NC2=O)o1,9.0
Cc1ccc([C@H](Nc2ccc(Cl)c(Br)c2)C(=O)[O-])s1,8.5
C[C@H](NC(=O)N1CCC[C@@H](C)[C@@H]1C)c1ccc(-c2cncnc2)cc1,9.9
CCOCC(=O)N1CCOC[C@H]1C1CC1,6.3
Cc1cccc(C)c1OCCOc1cccc(CC(N)=O)c1,9.3
CC[C@@](C)(CO)NC(=O)Nc1cc(F)c(OC)cc1OC,8.0
C[C@@H]([NH2+][C@H]1CCCc2ccccc21)c1cc(F)cc(F)c1,10.2
Cc1cc(NC(=O)NCc2ccc(Cl)nc2)ccc1-n1cnnn1,10.8
Cc1nc(C)n(CC(=O)Nc2cccc(I)c2)n1,8.6
CC(C)NC(=O)CN1C(=O)c2cccnc2Oc2ccc(Cl)cc21,7.0
c1ccc(-c2nc(CN3CC[NH2+]C4(CCCCC4)C3)co2)cc1,9.9
CC(C)(CNC(=O)N1CCC(OC2CCCC2)CC1)c1ccncc1,9.1
Cc1cc(N2CCCCC2)cc(=O)o1,7.4
Cc1ccn2c(CN3CC[C@H](NS(C)(=O)=O)C3)cnc2c1,9.0
O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1,11.0
CC(C)[C@@H](CO)NC(=O)c1ccccc1C(F)(F)F,8.3
CC(C)(O)CC[C@H]1C[C@@H](C(C)(C)C)CCC1=O,9.0
N#Cc1ccc(-c2noc(CCC(=O)c3ccc(F)cc3)n2)nc1,9.8
C[C@@H](CO)C[NH2+]Cc1cn(C)nc1-c1ccccc1,7.7
C[NH2+]C[C@@H](C)C(=O)N(C)c1ccc(F)cc1,7.1
O=C(CCn1ccc2cc(S(=O)(=O)N3CCCCC3)ccc21)NCc1ccc2c(c1)OCO2,10.4
Cc1ocnc1CNC(=O)N1CCN(CC(=O)NC2CCC(C)CC2)CC1,8.4
Cc1ccc(C(=O)N[C@H](C)c2ccco2)c(N)c1,8.5
C[C@H]1C[C@@H](C)CN(C(=O)CN2CC[NH+](Cc3cccc(C(F)(F)F)c3)CC2)C1,10.0
COCCN1C(N)=[NH+]C[C@]12CCc1cc(Br)ccc1C2,8.9
CCN(C[C@H](O)c1ccc(C)cc1)C(=O)c1sccc1-n1cnnn1,9.4
CCN(CCC(=O)NCc1ccc(F)cc1)C(=O)c1ccoc1C,9.3
c1ccc([C@H](NCCc2nnc3n2CCCCC3)C2CCCC2)cc1,10.7
O=c1c2c(ncn2Cc2ccco2)n(Cc2ccccc2)c(=O)n1Cc1cc(-c2ccco2)on1,8.0
Fc1ccc(Cn2cccc2)cc1,7.2
Cc1cc(F)ccc1S(=O)(=O)Oc1ccc(C(=O)Nc2cccnc2)cc1,11.5
C[C@H]1C[C@H](NCCS(=O)(=O)C(C)(C)C)C[N@@H+]1C,6.9
CC[C@@H](CC(=O)NC1(C(=O)OC)CCSCC1)c1ccccc1,8.9
Nc1cc(C(=O)Nc2c(F)cccc2F)ccc1F,10.0
Cc1ccc(C(=O)CN2C(=O)N[C@@](C)(c3ccccc3Br)C2=O)cc1,10.2
CCOc1c(Br)cc(C(=O)N[C@H](C)c2ccncc2)cc1OC,8.1
COC(=O)c1ccc(OCc2ccc(OC)c(OC)c2Br)cc1,8.5
CC(=O)c1cccc(O[C@@H](C)C(=O)Oc2ccc3nccnc3c2)c1,10.4
Cc1cccc(NC(=O)N(C)CC(=O)Nc2ccccc2)c1C,9.8
COc1ccc(OC)c(CNC(=O)CCn2c(=O)[nH]c3ccsc3c2=O)c1,9.3
CCOc1ccccc1C(=O)N[C@@H]1CCCC[C@@H]1C[NH+](C)C,8.4
COc1ccc([C@H](NC(=O)c2cccc(N3CCCC3=O)c2)C2CC2)cc1,10.1
Cc1nn(C)c(C)c1/C=C/C(=O)N[C@H](c1ccc(F)cc1)[C@@H]1CCCO1,9.8
CC(C)N1CCc2c(C#N)c(N3CCC(Cc4ccccc4)CC3)n3cnnc3c2C1,10.5
COc1ncc(C(=O)Nc2ccc(Cl)cc2)c(C)n1,8.6
CC[C@H](C)OC(=O)CSc1nc2ccc(NC(C)=O)cc2s1,8.1
CN(C[C@@H]1CCCO1)C(=O)c1cc(N2CCCC2=O)cc(C(F)(F)F)c1,9.3
CCc1noc(CC)c1CNC(=O)[C@@H]1Cc2cccc(F)c2O1,9.3
CC[C@](C)([C@@H]([NH2+]C)c1cc(Cl)cnc1N)N1CCOCC1,7.2
CN(Cc1ccccn1)C(=O)Nc1ccccc1SC(F)F,8.4
Cc1ccc(-n2nnnc2S[C@@H](C)C(=O)Nc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,11.9
Cc1cccc(N(C)C(=O)c2ccc([N+](=O)[O-])c(C)c2)c1,8.2
COCCN1C(=O)/C(=C/c2cc(Br)ccc2O)SC1=S,7.6
O=C(NC[C@H]1CC[C@H](C(=O)[O-])O1)c1ccccc1O,9.0
COc1cccc(C[C@@H](C)NCc2csc(C)n2)c1,8.5
CCCC[C@@H](C(=O)[O-])[C@]1(O)COc2cc(O)ccc21,8.3
COc1ccc(N2C[C@H](c3nc(-c4ccc(Br)cc4)no3)CC2=O)cc1,10.3
CCC(=O)N1CCC[C@@H](C(=O)NCC(C)(C)c2cccc(C)c2)C1,9.9
C[C@H](O)CCNc1nc2ccc(N)cc2o1,8.1
CN(C)C(=O)[C@H]1CC[C@H](CNC(=O)Nc2cccc(C#N)c2)O1,9.6
C[C@H](OC[C@@H](O)CN1CCO[C@H](C(N)=O)C1)c1ccc(Cl)cc1,9.3
CSC[C@@H](C)NC(=O)C(=O)Nc1ccccc1-n1cccn1,7.7
CCOc1cc([C@@H]2CC(=O)Nc3c2c(C)nn3-c2nncc(-c3ccc(F)cc3)n2)ccc1OC,8.7
C[C@@H]1CCC[C@H](OCc2cccc(NC(=O)N(CCO)C3CC3)c2)C1,9.9
Cc1cc(C)c2sc(N(Cc3cccnc3)C(=O)c3cc(C)oc3C)nc2c1,9.0
C[C@@H](SCCN1C(=O)c2ccccc2S1(=O)=O)c1ccc(F)cc1,10.0
Fc1ccc(NCc2noc(-c3cccs3)n2)c(OCC(F)F)c1,8.8
Cc1ncccc1NC(=O)C(=O)NCC[N@H+](C)C(C)C,8.3
COc1cccc([C@@H]2SCCN2S(=O)(=O)c2ccc(C)cc2)c1OC,9.7
CC(C)OC(=O)[C@@H](C)CNC(=O)c1ccnc(N(C)C)c1,8.5
O=C1CCC(=O)N1C[C@H](O)Cn1c2ccccc2c2ccccc21,9.7
CCC(CC)n1nccc1C(=O)N[C@@H](CO)c1ccco1,7.7
Nn1c(SCC(F)(F)F)nnc1-c1ccc(Cl)cc1,8.4
CSc1ccc(NC(=O)c2cn(C)nc2-c2ccccc2)cn1,8.4
CCOc1ccc(F)c(C(=O)NC(CC)(CC)CC)c1F,8.1
c1cc2c(cc1[C@@H]1CCC[NH2+]1)OCC2,7.9
C[C@@H](C1CC1)N(C(=O)NCc1ccc(S(N)(=O)=O)cc1)C1CC1,8.9
Cn1cc(C[C@H](CNc2nc3ccccc3cc2CO)C(N)=O)cn1,9.2
CC[NH+](CC)[C@H]1CCN(C(=O)c2ccc(-n3cccc3)nc2)C1,8.3
c1ccc2[nH]c(-c3cscn3)nc2c1,7.5
Cc1nc2ccc(C(=O)Oc3ccc(NC(=O)C4CC4)cc3)cc2nc1C,10.5
C[C@@H](Nc1ccc(C(N)=O)cc1)C(=O)Nc1ccc(N2CCOCC2)cc1,9.9
C[C@H]1C[C@@H]1NC(=O)c1cccc(SCC#N)c1,7.7
COc1cccc(CC(CO)(CO)Cc2ccccc2)c1,8.0
Cn1c(SCC[S@](=O)c2ccccc2)nnc1-c1ccco1,8.7
Cc1nc(-c2cc(S(=O)(=O)NCCC(C)C)c(C)s2)sc1C,8.7
C[C@H](CC(=O)Nc1cccnc1Cl)c1ccc(C(F)(F)F)cc1,10.0
CS[C@@H]1CC[C@@H](NC(=O)N[C@@H]2CCCc3ccccc32)C1,9.1
Nc1c(C(=O)NCc2ccccc2Cl)sc2nc(-c3cccs3)ccc12,9.4
COCC(=O)N[C@H](C(=O)N[C@H]1CCC[C@@H](C(F)(F)F)C1)C(C)C,8.7
CN1C2=C(C#N)C(=O)CCN2c2ccccc21,7.5
CS(=O)(=O)[C@H]1CCC[C@H](N2CCC(C#N)CC2)C1,8.0
Cn1cc([C@@H]2CN(Cc3cccc4cn[nH]c34)CCO2)cn1,9.1
Cc1cc(NC(=O)c2cc(=O)oc3cc(OC(C)C)ccc23)nn1C,9.8
Cc1cc(O)c(C[NH+]2C[C@@H](C)C[C@H](C)C2)c2c1C(=O)/C(=C\c1ccccc1)O2,11.0
CC(=O)c1c(C)cc(C)c(CN(C#N)c2ccc(F)c([N+](=O)[O-])c2)c1C,10.1
CNC(=O)[C@@H](C)CN(C)C(=O)C[C@@H]1CCS(=O)(=O)C1,7.5
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)Nc1cccc(C(F)(F)F)c1)C(=O)C2,10.6
Cc1ncncc1C(=O)N1CCCN(Cc2ncc(Cl)n2C)CC1,7.7
O=C(NC1CC1)c1ccc(/C=C\C([O-])=N\S(=O)(=O)/C=C\c2ccccc2)cc1,10.9
Fc1ccc(C[C@H](CBr)c2ccccc2F)cc1,8.6
N#Cc1cccc(Cl)c1N1CCC(NC(=O)C2CCCCC2)CC1,9.1
CCOC(=O)N[C@H]1CCC[N@H+](Cc2ccsc2C(=O)OC)C1,8.2
Cc1ccc(CC(=O)Nc2cc(-c3ccccc3C)nn2C)cc1O,10.9
CS/C(=N\S(=O)(=O)c1ccccc1)[N-]/N=C/c1ccccn1,8.3
N#CCCc1c(-c2ccccc2)nn(-c2nc3ccccc3s2)c1O,9.4
O=C(Nc1cccc(CC[NH+]2CCCC2)c1)c1cnoc1-c1ccco1,10.6
c1ccc(-c2cc(CC3(NCc4ccncc4)COC3)no2)nc1,9.5
O=C(N[C@@H](c1ccccc1)C1CC1)N1CCN(S(=O)(=O)c2cccc(Cl)c2)CC1,8.9
COc1cccc(NC(=O)CSc2nccn2Cc2ccccc2Cl)c1,9.1
CCCCC(=O)OCc1ccco1,6.2
Cc1cc(NC[C@@H]([NH3+])[C@@H](C)O)ncc1[N+](=O)[O-],8.5
CSC[C@@H](C)N(C)C(=O)N[C@H]1CCC[N@H+](C)C1,7.2
Cc1ccc(-c2noc(COc3ccc(Cl)cc3)n2)s1,8.8
CC(=O)NCC(=O)N1CCC[C@H]1c1cccc(Br)c1,8.0
C#CCNCC(=O)Nc1ccc(S(C)(=O)=O)nc1,7.2
CC(C)Oc1ccc2c(C(=O)Nc3ccccc3Cl)cc(=O)oc2c1,10.2
CCC1(CC)CCN(C(=O)c2cc(C)ccc2F)C1,8.5
COc1ccccc1[C@H](N)c1nc(C(=O)[O-])c[nH]1,8.1
Cc1ccc([C@H](C)NC(=O)C[C@H]2C=CCC2)cc1F,8.8
C[C@H](NC(=O)N(C)C1CCC1)c1cccc(Cl)c1,8.0
Cc1noc2ncnc(N3CC[C@@H]([NH3+])[C@H](C)C3)c12,8.4
CC[C@H](C(=O)N1CCCSC[C@H]1C[NH+](C)C)c1ccccc1,6.6
CC[C@@H](Nc1nccs1)c1cccc([N+](=O)[O-])c1,7.6
CSCC[C@@H]1NC(=S)N(c2cccc([N+](=O)[O-])c2)C1=O,7.2
C[C@@H](C(=O)NCc1ccc(CN2CCOCC2)cc1)[N@@H+]1CCC[C@@H]1c1ccsc1,9.1
N#Cc1cc(Cl)nc(NNC(=O)c2cccc([N+](=O)[O-])c2)c1,10.1
CC[C@H]1CCC[N@H+](CCC(C)(C)O)C1,7.0
CCn1nnnc1/N=C/c1ccccc1OC,7.5
FC(F)(F)c1ccc(O[C@H]2CCN(CCn3cc[nH+]c3)C2)nc1,8.7
CCc1nc2n(n1)CCC[C@H]2NC(=O)[C@@H]1Oc2ccccc2[C@H]1C,9.2
CCOc1cccc(/C(N)=N/C(=O)Cc2csc(-c3cccnc3)n2)c1,10.7
O=C1S/C(=C\Nc2cccc3ccccc23)C(=O)N1Cc1ccccc1,11.2
Cn1cc2c(n1)c(=O)n(Cc1ccc(Cl)cc1)c1nn(Cc3ccccc3)c(=O)n21,9.0
CC(=O)Nc1cccc(OCC[NH2+][C@@H](C)c2cc(C)sc2C)c1,9.3
C[C@H](OC(=O)[C@@H]1COc2ccccc21)c1ccc(F)cc1F,9.6
COc1cccc(C(=O)N[C@@H](C)C(=O)OC2CCCC2)c1F,8.9
C[C@@H](CNCc1c(F)cccc1Cl)[NH+]1CCCC1,8.2
C[C@H](c1nnc(-c2ccccc2)o1)[N@@H+]1CCCN(c2ncccn2)CC1,10.6
C=CCCC[C@H](C)[NH+]1CCC(NC(=O)c2ccc(C)s2)CC1,8.4
CNC(=O)NC(=O)[C@@H](C)Sc1nnc(-c2ccccc2)n1-c1ccc(F)cc1,9.5
C/C(=N\NC(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1Cl,9.8
CC(=O)c1ccc(NC(=O)[C@H]2CCCN(C(=O)c3ccc(F)cc3)C2)cc1,10.8
COCCn1ccc2ccc(NC(=O)N[C@H]3CCCC[C@H]3OC)cc21,9.9
COc1ccc(C[C@]2(C(=O)[O-])CCC[C@@H](C)C2)cc1OC,8.6
Cc1cc(N2CCCC2)nc2sc3c(=O)n(CC(=O)[O-])cnc3c12,9.0
C[C@H](O)[C@H]1NC(=O)[C@@H]2C[C@H](NCc3cccs3)CN2C1=O,8.4
COc1ccc(-n2nc3c(c2NC(=O)C2CC2)CS(=O)(=O)C3)cc1,8.0
CNS(=O)(=O)c1cc(NC(=O)/C=C/c2ccccc2)ccc1OC,9.7
COC(=O)CCN1CCN(c2ccc([N+](=O)[O-])c(C)c2)[C@@H](C)C1,8.4
O=C(OCC(=O)N1CCCC1)c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,9.7
C=CCn1c(S[C@H](C)C(=O)N2CCC(C)CC2)nnc1-c1ccc(Cl)cc1,9.0
CC(C)CN1CC2(CCN(c3cc(C(=O)NC4CC4)ccn3)CC2)CC1=O,9.8
C[C@@H](CS(C)(=O)=O)N(C)Cc1csc(-c2ccco2)n1,7.3
Cc1[nH+]c(N2CCN(Cc3ccncc3)CC2)ccc1I,8.2
O=C(CNC(=O)c1cccs1)Nc1cccc(C#Cc2ccccn2)c1,10.0
COCCn1c(C)cc(CN2CC[NH+](Cc3ccon3)CC2)c1C,7.9
CC1(C)CCC([C@@H]([NH3+])[C@@H]2CCOC3(CCC3)C2)CC1,9.2
COc1cc(OC)c(N2C[C@@H](C(=O)Nc3c(C)cccc3C)CC2=O)cc1Cl,7.3
COc1ccc(Cn2c(=S)[nH]c3cc(Cl)ccc3c2=O)cc1,8.2
C[C@@H]1Cc2ccccc2N1C(=O)CSc1ncc(C(=O)[O-])n1-c1ccc(F)cc1,9.9
CC1CCN(c2cc(NC(=O)COc3ccc(C(C)C)cc3)ncn2)CC1,10.0
CC(C)CNC(=O)c1ccc(NC(=O)NNC(=O)c2ccccc2)cc1,10.3
CCCOC(=O)c1oc2c(c1C)/C(=N/NC(=O)c1ccc(C)cc1)CCC2,11.1
CCCCSC1=NC(=O)[C@@H]2C(=N1)NC(=O)C[C@@H]2C(=O)Nc1cc(C)cc(C)c1,10.0
O=C(CNC(=O)c1ccc(-n2cccc2)cc1)Nc1cccc(F)c1,9.7
[NH3+][C@@H]1CC[C@H](Nc2ccc[nH+]c2N2CCCC2)C1,7.6
COC(=O)CCN(C)C(=O)c1cnc([C@H]2CCCO2)s1,7.0
CCCNC(=O)[C@@H]1CCCN(C(=O)N[C@@H]2CCCC[C@@H]2OC2CCCC2)C1,7.9
CCCCN(C(=O)N[C@@H]1CCCCC1(C)C)[C@@H]1CCS(=O)(=O)C1,7.1
COc1ccc([C@@H](O)C2(C#N)CCC(C(C)C)CC2)cc1,9.0
CCC[C@@H]1CN(Cc2ccc(OCC)cc2)CC[NH2+]1,7.8
CCC[N@@H+]1CC[C@@H](CNC(=O)C(=O)Nc2ccc(C)c(NC(C)=O)c2)C1,9.6
CCc1nn(C)cc1C(=O)NCCc1cccc(F)c1,8.8
COC(=O)[C@H]1CSC(=O)N1,5.3
Cc1noc2nc(-c3ccccc3F)cc(C(=O)N3CCC[C@H]3c3ccc4c(c3)OCCO4)c12,1.3
C[C@H](CNC(=O)Nn1cnc2ccccc21)C[NH+]1CCCC1,9.2
CC(=O)Oc1cc(NC(=O)C[C@H]2SC(=N)NC2=O)cc(OC(C)=O)c1,9.4
CCOc1cccc([C@@H]2c3c(oc4ccc(C)cc4c3=O)C(=O)N2C)c1,8.7
CC(=O)N(C)c1cccc(NC(=O)N[C@H](C)c2cn(C)nc2C)c1,10.9
O=C(COc1nc2ccccc2s1)N1CCc2ccccc2C1,10.1
COc1ccc(N2C(=O)[C@H]3[C@@H]4C=C[C@@H](C4)[C@@H]3C2=O)c(OC)c1,7.7
Cc1ccc(C)c([C@@H](O)[C@@H](C)[C@@H](C)C(=O)[O-])c1,8.5
CCn1c(C[NH+]2CCC(OC3CCCCC3)CC2)nc2ccccc21,9.0
CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1,8.8
COC(=O)C1=C(C)Nc2nnnn2[C@H]1c1cccc(Oc2ccccc2)c1,10.6
C[C@@]1(NC(=O)Cc2c[nH]c3cc(Cl)ccc23)CCS(=O)(=O)C1,10.2
Cc1cccc(N2C(=O)/C(=C\c3cccc(F)c3)SC2=S)c1C,8.6
CCc1nn(C)cc1CNC(=O)Nc1nnc(Cc2ccc(C)cc2)s1,9.5
Cc1ccccc1OC(=O)CCC(=O)c1ccc(F)cc1F,9.4
CN(C)c1nc(CNS(=O)(=O)c2cccc(Cl)c2)cs1,8.4
C/C(=N\Nc1ccncc1[N+](=O)[O-])C(=O)[O-],7.2
C[C@H]1C[C@H]([NH2+][C@@H]2CCN(C[C@@H]3CCCO3)C[C@@H]2C)C[C@@H](C)O1,8.7
O=C(Nc1cccc(C#Cc2ccccn2)c1)c1cc(Br)ccc1Cl,9.4
C[C@H](O)Cn1c(C(C)(C)C)nc2cc(Cl)ccc21,7.4
C[C@H](C#N)CNC(=O)C(=O)Nc1ccnn1Cc1ccccc1F,9.1
COC(=O)[C@H](C)Oc1ccc2c(C)cc(=O)oc2c1,8.7
CC[N@H+](C)C[C@H]1CCN(C(=O)[C@@H](C)CCOC)C1,6.8
CCC[C@H]1CN(C(=O)[C@@H]2COc3ccc(Br)cc32)CCO1,8.4
CC[C@@H](C)c1ccccc1NC(=O)c1c(-c2ccccc2)noc1C,9.8
CC1CCN(C(=O)c2cccc(NC(=O)c3ccccc3OC(C)C)c2)CC1,11.5
Cc1noc(C)c1[C@H](C)NC(=O)NCC(=O)Nc1ccc(F)cc1,10.2
CC[C@](C)([NH3+])C(=O)N(Cc1cccnc1)C1CC1,7.3
Cc1cccc(C(=O)N[C@H](C)C(=O)N[C@H]2CCC[C@H](C)C2)c1,10.2
O=C(c1cnccn1)N1CCN(Cc2nc3ccccc3c(=O)[nH]2)CC1,9.2
Cc1cccc(C(C)C)c1NC(=O)NC[C@H](C)C[NH+]1CCCC1,9.4
C[C@@H]1Cc2ccccc2N1C(=O)CN1C(=O)N[C@@]2(CCCCc3ccccc32)C1=O,10.0
Cn1cncc1-c1nnc([C@H]2CCN(Cc3cc4ccccc4o3)C2)o1,10.6
CC(C)OC(=O)N1CCC([NH2+][C@H](C)CC(F)(F)F)CC1,7.9
C[C@@H](NC(=O)Cn1c(C(F)(F)F)nc2ccccc21)c1ccc(Br)cc1,10.6
CC(C)c1ccc2c(c1)=C1CCC/C(=N\O)[C@H]1[NH+]=2,9.5
CC(C)[C@@H](NC(=O)[C@@H](C)NC(=O)C1CCCCC1)c1nc(C2CC2)no1,8.9
Cc1n[nH]c(C)c1C[C@@H](C)C(=O)NCc1ccccc1OC(C)(C)C,9.9
CC1(C)CCC[C@@H](S(=O)(=O)C2CCCCC2)[C@@H]1[NH3+],7.8
Cc1nn(Cc2ccc(F)cc2Cl)c(C)c1NS(=O)(=O)Cc1ccccc1,9.8
O=C(Cl)c1ccc2snnc2c1,7.0
CC1(C)C[C@]2(C[NH+]=C(N)O2)C(C)(C)O1,7.1
CCOC(=O)CN(Cc1ccc(F)cc1)C(=O)C1C[C@H](C)O[C@@H](C)C1,8.1
CC[C@H](C[NH3+])C(=O)N1CC[C@H]2CC[C@@H](C1)[N@@H+]2C,6.8
COc1cc(OC)c(-c2cnc(CNN(C)C)s2)cc1OC,7.3
C[C@H]1CCC[C@H](NC(=O)NCCC[N@H+](C)CC(F)(F)F)C1,8.7
O=C(Nc1nc2c(s1)COCC2)N1CCSC2(CCCCC2)C1,9.4
C[C@H]1CN(C(=O)C[N@H+](C)[C@@H](C)c2cccc(NC(=O)c3ccccc3)c2)CCO1,9.9
CC[NH+]1CCN(CC(=O)Nc2ccccc2N2C[C@@H](C)O[C@H](C)C2)CC1,7.5
CC[C@@H](NC(=O)N1CCO[C@H](C#N)C1)c1ccncc1,8.3
COC(=O)c1cc(OC)c(OC)nc1OC,6.5
CCc1ccc(NC(=O)CN2C(=O)C(c3ccc(C(C)(C)C)cc3)=NC2(C)C)cc1,10.3
CCOC[C@H]1CCCN(C(=O)Nc2ccc(CN(C(C)=O)C3CC3)cc2)C1,9.4
COc1ccccc1OCC(=O)Nc1onc2c1C[C@@H](C)CC2,9.7
C[C@]1(CCc2ccccc2)NC(=O)N(NC(=O)CSc2nc3ncc(Cl)cc3[n-]2)C1=O,10.2
Cc1ccc(-c2n[nH]cc2CN2CC[C@H](S(=O)(=O)NC3CC3)C2)cc1,9.4
Cc1cc(C)c2c(c1)N(C(=O)CCn1cncn1)CCC2,8.6
Cc1cc(=O)n(CC(=O)[O-])c(N2CCC(C)CC2)n1,8.3
CSCC[C@H](NC(N)=O)C(=O)N[C@@H](C)c1cc(C)cc(C)c1,8.3
CCc1nn(C)c(OC)c1CNC(=O)c1cc(C)cc(F)c1,8.7
Cc1cc(C(=O)NCc2ccc(N3CCOCC3)cc2)c(C)n1C1CC1,9.5
CC[C@H]1SC(=S)N(CCC(=O)Nc2ccc(-n3nncc3C)cc2)C1=O,9.7
CC(=O)N1CCN(c2ccnc3c2c(=O)n(CC(=O)Nc2ccccc2F)c(=O)n3C)CC1,8.4
O=C(N[C@H]1CCOc2ccc(Br)cc21)C1(c2cccc(F)c2)CCC1,9.7
